current_node_accs	current_node_id	current_node_param_string	is_gt	parent_accs	parent_node_id	parent_node_param_string
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	27	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50	True	[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]	0	act1=relu,act2=relu,act3=relu,act4=softmax,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	54	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=he_normal,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50	True	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	27	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	55	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_normal,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50	True	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	27	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	56	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=random_normal,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50	True	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	27	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	57	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=he_normal,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50	True	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	27	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	58	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=glorot_normal,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50	True	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	27	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	59	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=random_normal,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50	True	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	27	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	60	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=he_normal,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50	True	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	27	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	61	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=glorot_normal,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50	True	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	27	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	62	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=random_normal,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50	True	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	27	act1=relu,act2=relu,act3=relu,act4=sigmoid,batch_size=1,bi1=zeros,bi2=zeros,dropout1=0.2,dropout2=0.2,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=binary_crossentropy,lr=0.001,optimizer=rmsprop,unit1=50,unit2=50
