issue,GT_ID,GT,LEN_GT,DFD_RES,DSD_MATCH,DFD_MATCH_CNT,DFD_AJS,DD_RES,DD_MATCH,DD_MATCH_CNT,DD_AJS,NL_RES,NL_MATCH,NL_MATCH_CNT,NL_AJS,UM_RES,UM_MATCH,UM_MATCH_CNT,UM_AJS
99,24,['loss'],1,"['optimizer', 'lr', 'epochs']",0 | ,0,0,['act2'],0 | ,0,0,['loss'],1 | ,1,1,['act2'],0 | ,0,0
99,41,"['ki1', 'loss']",2,"['optimizer', 'lr', 'epochs']",0 | 0 | ,0,0,['act2'],0 | 0 | ,0,0,['loss'],0 | 1 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,42,"['ki1', 'loss']",2,"['optimizer', 'lr', 'epochs']",0 | 0 | ,0,0,['act2'],0 | 0 | ,0,0,['loss'],0 | 1 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,43,"['bi1', 'loss']",2,"['optimizer', 'lr', 'epochs']",0 | 0 | ,0,0,['act2'],0 | 0 | ,0,0,['loss'],0 | 1 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,44,"['bi1', 'loss']",2,"['optimizer', 'lr', 'epochs']",0 | 0 | ,0,0,['act2'],0 | 0 | ,0,0,['loss'],0 | 1 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,46,"['loss', 'unit1']",2,"['optimizer', 'lr', 'epochs']",0 | 0 | ,0,0,['act2'],0 | 0 | ,0,0,['loss'],1 | 0 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,48,"['act1', 'loss']",2,"['optimizer', 'lr', 'epochs']",0 | 0 | ,0,0,['act2'],0 | 0 | ,0,0,['loss'],0 | 1 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,49,"['act1', 'loss']",2,"['optimizer', 'lr', 'epochs']",0 | 0 | ,0,0,['act2'],0 | 0 | ,0,0,['loss'],0 | 1 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,50,"['act1', 'loss']",2,"['optimizer', 'lr', 'epochs']",0 | 0 | ,0,0,['act2'],0 | 0 | ,0,0,['loss'],0 | 1 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,51,"['act2', 'loss']",2,"['optimizer', 'lr', 'epochs']",0 | 0 | ,0,0,['act2'],1 | 0 | ,1,0.5,['loss'],0 | 1 | ,1,0.5,['act2'],1 | 0 | ,1,0.5
99,53,"['act2', 'loss']",2,"['optimizer', 'lr', 'epochs']",0 | 0 | ,0,0,['act2'],1 | 0 | ,1,0.5,['loss'],0 | 1 | ,1,0.5,['act2'],1 | 0 | ,1,0.5
99,54,"['loss', 'optimizer']",2,"['optimizer', 'lr', 'epochs']",0 | 1 | ,1,0.5,['act2'],0 | 0 | ,0,0,['loss'],1 | 0 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,55,"['loss', 'optimizer']",2,"['optimizer', 'lr', 'epochs']",0 | 1 | ,1,0.5,['act2'],0 | 0 | ,0,0,['loss'],1 | 0 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,57,"['loss', 'lr']",2,"['optimizer', 'lr', 'epochs']",0 | 1 | ,1,0.5,['act2'],0 | 0 | ,0,0,['loss'],1 | 0 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,59,"['epochs', 'loss']",2,"['optimizer', 'lr', 'epochs']",1 | 0 | ,1,0.5,['act2'],0 | 0 | ,0,0,['loss'],0 | 1 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,60,"['epochs', 'loss']",2,"['optimizer', 'lr', 'epochs']",1 | 0 | ,1,0.5,['act2'],0 | 0 | ,0,0,['loss'],0 | 1 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,61,"['batch_size', 'loss']",2,"['optimizer', 'lr', 'epochs']",0 | 0 | ,0,0,['act2'],0 | 0 | ,0,0,['loss'],0 | 1 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,47,"['loss', 'unit1']",2,"['optimizer', 'lr', 'epochs']",0 | 0 | ,0,0,['act2'],0 | 0 | ,0,0,['loss'],1 | 0 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,45,"['bi1', 'loss']",2,"['optimizer', 'lr', 'epochs']",0 | 0 | ,0,0,['act2'],0 | 0 | ,0,0,['loss'],0 | 1 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,84,"['bi1', 'loss']",2,"['optimizer', 'lr', 'epochs']",0 | 0 | ,0,0,['act2'],0 | 0 | ,0,0,['loss'],0 | 1 | ,1,0.5,['act2'],0 | 0 | ,0,0
99,107,"['loss', 'unit1']",2,"['optimizer', 'lr', 'epochs']",0 | 0 | ,0,0,['act2'],0 | 0 | ,0,0,['loss'],1 | 0 | ,1,0.5,['act2'],0 | 0 | ,0,0
98,1,['ki1'],1,[],0 | ,0,0,[],0 | ,0,0,['act2'],0 | ,0,0,[],0 | ,0,0
98,3,['ki1'],1,[],0 | ,0,0,[],0 | ,0,0,['act2'],0 | ,0,0,[],0 | ,0,0
98,6,['bi1'],1,[],0 | ,0,0,[],0 | ,0,0,['act2'],0 | ,0,0,[],0 | ,0,0
98,9,['act1'],1,[],0 | ,0,0,[],0 | ,0,0,['act2'],0 | ,0,0,[],0 | ,0,0
98,10,['act1'],1,[],0 | ,0,0,[],0 | ,0,0,['act2'],0 | ,0,0,[],0 | ,0,0
98,28,['optimizer'],1,[],0 | ,0,0,[],0 | ,0,0,['act2'],0 | ,0,0,[],0 | ,0,0
98,14,['act2'],1,[],0 | ,0,0,[],0 | ,0,0,['act2'],1 | ,1,1,[],0 | ,0,0
98,27,['optimizer'],1,[],0 | ,0,0,[],0 | ,0,0,['act2'],0 | ,0,0,[],0 | ,0,0
98,38,['batch_size'],1,[],0 | ,0,0,[],0 | ,0,0,['act2'],0 | ,0,0,[],0 | ,0,0
98,37,['batch_size'],1,[],0 | ,0,0,[],0 | ,0,0,['act2'],0 | ,0,0,[],0 | ,0,0
98,7,['unit1'],1,[],0 | ,0,0,[],0 | ,0,0,['act2'],0 | ,0,0,[],0 | ,0,0
98,39,"['act2', 'ki1']",2,[],0 | 0 | ,0,0,[],0 | 0 | ,0,0,['act2'],1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
98,40,"['act2', 'ki1']",2,[],0 | 0 | ,0,0,[],0 | 0 | ,0,0,['act2'],1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
98,41,"['act2', 'ki1']",2,[],0 | 0 | ,0,0,[],0 | 0 | ,0,0,['act2'],1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
98,42,"['act2', 'bi1']",2,[],0 | 0 | ,0,0,[],0 | 0 | ,0,0,['act2'],1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
98,43,"['act2', 'bi1']",2,[],0 | 0 | ,0,0,[],0 | 0 | ,0,0,['act2'],1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
98,44,"['act2', 'bi1']",2,[],0 | 0 | ,0,0,[],0 | 0 | ,0,0,['act2'],1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
98,45,"['act2', 'unit1']",2,[],0 | 0 | ,0,0,[],0 | 0 | ,0,0,['act2'],1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
98,46,"['act2', 'unit1']",2,[],0 | 0 | ,0,0,[],0 | 0 | ,0,0,['act2'],1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
98,62,"['act2', 'optimizer']",2,[],0 | 0 | ,0,0,[],0 | 0 | ,0,0,['act2'],1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
98,63,"['act2', 'optimizer']",2,[],0 | 0 | ,0,0,[],0 | 0 | ,0,0,['act2'],1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
68,27,['act4'],1,"['optimizer', 'act', 'loss']",1 | ,1,1,"['loss', 'act4']",1 | ,1,1,"['act4', 'loss']",1 | ,1,1,[],0 | ,0,0
68,54,"['act4', 'ki1']",2,"['optimizer', 'act', 'loss']",1 | 0 | ,1,0.5,"['loss', 'act4']",1 | 0 | ,1,0.5,"['act4', 'loss']",1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
68,55,"['act4', 'ki1']",2,"['optimizer', 'act', 'loss']",1 | 0 | ,1,0.5,"['loss', 'act4']",1 | 0 | ,1,0.5,"['act4', 'loss']",1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
68,56,"['act4', 'ki1']",2,"['optimizer', 'act', 'loss']",1 | 0 | ,1,0.5,"['loss', 'act4']",1 | 0 | ,1,0.5,"['act4', 'loss']",1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
68,57,"['act4', 'ki2']",2,"['optimizer', 'act', 'loss']",1 | 0 | ,1,0.5,"['loss', 'act4']",1 | 0 | ,1,0.5,"['act4', 'loss']",1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
68,58,"['act4', 'ki2']",2,"['optimizer', 'act', 'loss']",1 | 0 | ,1,0.5,"['loss', 'act4']",1 | 0 | ,1,0.5,"['act4', 'loss']",1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
68,59,"['act4', 'ki2']",2,"['optimizer', 'act', 'loss']",1 | 0 | ,1,0.5,"['loss', 'act4']",1 | 0 | ,1,0.5,"['act4', 'loss']",1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
68,60,"['act4', 'bi1']",2,"['optimizer', 'act', 'loss']",1 | 0 | ,1,0.5,"['loss', 'act4']",1 | 0 | ,1,0.5,"['act4', 'loss']",1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
68,61,"['act4', 'bi1']",2,"['optimizer', 'act', 'loss']",1 | 0 | ,1,0.5,"['loss', 'act4']",1 | 0 | ,1,0.5,"['act4', 'loss']",1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
68,62,"['act4', 'bi1']",2,"['optimizer', 'act', 'loss']",1 | 0 | ,1,0.5,"['loss', 'act4']",1 | 0 | ,1,0.5,"['act4', 'loss']",1 | 0 | ,1,0.5,[],0 | 0 | ,0,0
48221692,12,['act2'],1,"['lr', 'act', 'loss', 'epochs']",1 | ,1,1,['act2'],1 | ,1,1,[],0 | ,0,0,['act2'],1 | ,1,1
48221692,40,"['act2', 'ki1']",2,"['lr', 'act', 'loss', 'epochs']",1 | 0 | ,1,0.5,['act2'],1 | 0 | ,1,0.5,[],0 | 0 | ,0,0,['act2'],1 | 0 | ,1,0.5
48221692,41,"['act2', 'ki1']",2,"['lr', 'act', 'loss', 'epochs']",1 | 0 | ,1,0.5,['act2'],1 | 0 | ,1,0.5,[],0 | 0 | ,0,0,['act2'],1 | 0 | ,1,0.5
48221692,66,"['act2', 'epochs']",2,"['lr', 'act', 'loss', 'epochs']",1 | 1 | ,2,1,['act2'],1 | 0 | ,1,0.5,[],0 | 0 | ,0,0,['act2'],1 | 0 | ,1,0.5
