ID,TYPE,TOOL,RC,PR,F3
M1,O,DFD,0,0,0
M2,O,DFD,0,0,0
M3,O,DFD,1,0.33,0.83
C1,O,DFD,1,0.25,0.77
C2,O,DFD,0,0,0
C3,O,DFD,0,0,0
R1,O,DFD,0,0,0
R2,O,DFD,0,0,0
R3,O,DFD,0,0,0
R4,O,DFD,1,0.5,0.91
R5,O,DFD,1,0.33,0.83
R6,O,DFD,0,0,0
R7,O,DFD,0,0,0
D1,O,DFD,1,1,1
D2,O,DFD,0,0,0
D3,O,DFD,0.2,0.5,0.21
D4,O,DFD,0,0,0
D5,O,DFD,0,0,0
D6,O,DFD,0.5,0.67,0.51
D7,O,DFD,0,0,0
D8,O,DFD,1,0.5,0.91
D9,O,DFD,0,0,0
M1,O,DD,0,0,0
M2,O,DD,1,1,1
M3,O,DD,0,0,0
C1,O,DD,0,0,0
C2,O,DD,0,0,0
C3,O,DD,0,0,0
R1,O,DD,0,0,0
R2,O,DD,1,1,1
R3,O,DD,0,0,0
R4,O,DD,0,0,0
R5,O,DD,0,0,0
R6,O,DD,0,0,0
R7,O,DD,1,1,1
D1,O,DD,0,0,0
D2,O,DD,0,0,0
D3,O,DD,0,0,0
D4,O,DD,0.33,1,0.35
D5,O,DD,0,0,0
D6,O,DD,0,0,0
D7,O,DD,0,0,0
D8,O,DD,0,0,0
D9,O,DD,0,0,0
M1,O,NL,1,1,1
M2,O,NL,0,0,0
M3,O,NL,0,0,0
C1,O,NL,0,0,0
C2,O,NL,0,0,0
C3,O,NL,1,1,1
R1,O,NL,0,0,0
R2,O,NL,0,0,0
R3,O,NL,0,0,0
R4,O,NL,1,1,1
R5,O,NL,0,0,0
R6,O,NL,1,1,1
R7,O,NL,0,0,0
D1,O,NL,0,0,0
D2,O,NL,0,0,0
D3,O,NL,0.4,0.67,0.42
D4,O,NL,0.33,0.5,0.34
D5,O,NL,0,0,0
D6,O,NL,0,0,0
D7,O,NL,0,0,0
D8,O,NL,0,0,0
D9,O,NL,0,0,0
M1,O,UM,0,0,0
M2,O,UM,1,0.5,0.91
M3,O,UM,0,0,0
C1,O,UM,0,0,0
C2,O,UM,0,0,0
C3,O,UM,0,0,0
R1,O,UM,0,0,0
R2,O,UM,1,1,1
R3,O,UM,1,1,1
R4,O,UM,0,0,0
R5,O,UM,0,0,0
R6,O,UM,0,0,0
R7,O,UM,1,1,1
D1,O,UM,0,0,0
D2,O,UM,0,0,0
D3,O,UM,0,0,0
D4,O,UM,0.67,1,0.69
D5,O,UM,0,0,0
D6,O,UM,0,0,0
D7,O,UM,0,0,0
D8,O,UM,0,0,0
D9,O,UM,0,0,0
M1,OA,DFD,0.67,0.5,0.65
M2,OA,DFD,0.67,0.67,0.67
M3,OA,DFD,1,0.47,0.88
C1,OA,DFD,1,0.39,0.85
C2,OA,DFD,0,0,0
C3,OA,DFD,1,0.25,0.77
R1,OA,DFD,0,0,0
R2,OA,DFD,1,0.56,0.91
R3,OA,DFD,0,0,0
R4,OA,DFD,1,0.57,0.92
R5,OA,DFD,1,0.5,0.89
R6,OA,DFD,0.5,0.25,0.45
R7,OA,DFD,1,0.5,0.89
D1,OA,DFD,1,1,1
D2,OA,DFD,0,0,0
D3,OA,DFD,1,0.5,0.91
D4,OA,DFD,0,0,0
D5,OA,DFD,0,0,0
D6,OA,DFD,1,0.5,0.89
D7,OA,DFD,0.5,1,0.53
D8,OA,DFD,1,0.5,0.91
D9,OA,DFD,0,0,0
M1,OA,DD,0.5,1,0.53
M2,OA,DD,1,1,1
M3,OA,DD,0,0,0
C1,OA,DD,0,0,0
C2,OA,DD,0,0,0
C3,OA,DD,0,0,0
R1,OA,DD,0,0,0
R2,OA,DD,1,1,1
R3,OA,DD,0,0,0
R4,OA,DD,0,0,0
R5,OA,DD,0,0,0
R6,OA,DD,0,0,0
R7,OA,DD,1,1,1
D1,OA,DD,0.5,1,0.53
D2,OA,DD,0,0,0
D3,OA,DD,0,0,0
D4,OA,DD,0.33,1,0.35
D5,OA,DD,0,0,0
D6,OA,DD,0,0,0
D7,OA,DD,0,0,0
D8,OA,DD,0,0,0
D9,OA,DD,0,0,0
M1,OA,NL,1,1,1
M2,OA,NL,0.5,1,0.53
M3,OA,NL,0,0,0
C1,OA,NL,0,0,0
C2,OA,NL,0,0,0
C3,OA,NL,1,1,1
R1,OA,NL,0,0,0
R2,OA,NL,1,1,1
R3,OA,NL,0,0,0
R4,OA,NL,1,1,1
R5,OA,NL,0,0,0
R6,OA,NL,1,1,1
R7,OA,NL,1,1,1
D1,OA,NL,0.5,1,0.53
D2,OA,NL,0,0,0
D3,OA,NL,0.5,0.33,0.48
D4,OA,NL,1,0.5,0.91
D5,OA,NL,0,0,0
D6,OA,NL,0,0,0
D7,OA,NL,0,0,0
D8,OA,NL,0,0,0
D9,OA,NL,0,0,0
M1,OA,UM,0.5,1,0.53
M2,OA,UM,1,0.5,0.91
M3,OA,UM,0,0,0
C1,OA,UM,0,0,0
C2,OA,UM,0,0,0
C3,OA,UM,0,0,0
R1,OA,UM,0,0,0
R2,OA,UM,1,1,1
R3,OA,UM,1,1,1
R4,OA,UM,0,0,0
R5,OA,UM,0,0,0
R6,OA,UM,0,0,0
R7,OA,UM,1,1,1
D1,OA,UM,0,0,0
D2,OA,UM,0,0,0
D3,OA,UM,0,0,0
D4,OA,UM,1,0.5,0.91
D5,OA,UM,0,0,0
D6,OA,UM,0,0,0
D7,OA,UM,0,0,0
D8,OA,UM,0,0,0
D9,OA,UM,0,0,0
